tests_id,excTimeJava,excTimeCpp,,avgJava,avg Cpp
302,2539,1859,,,
303,2541,1859,,,
304,2543,1860,,,
305,2543,1861,,,
306,2544,1858,,,
307,2542,1858,,,
308,2540,1859,,,
309,2540,1859,,,
310,2541,1857,,,
311,2540,1856,,,
312,2539,1863,,,
313,2540,1864,,,
314,2542,1866,,,
315,2544,1862,,,
316,2543,1865,,,
317,2541,1861,,,
318,2541,1858,,,
319,2541,1858,,,
320,2541,1857,,,
321,2543,1857,,,
322,2540,1858,,,
323,2542,1857,,,
324,2543,1857,,,
325,2543,1857,,,
326,2542,1857,,,
327,2541,1859,,,
328,2540,1861,,,
329,2541,1858,,,
330,2542,1858,,,
331,2542,1858,,,
332,2541,1864,,,
333,2540,1863,,,
334,2543,1861,,,
335,2544,1862,,,
336,2544,1862,,,
337,2540,1860,,,
338,2540,1857,,,
339,2540,1856,,,
340,2542,1856,,,
341,2541,1861,,,
342,2540,1859,,,
343,2541,1859,,,
344,2544,1858,,,
345,2544,1858,,,
346,2543,1857,,,
347,2541,1858,,,
348,2540,1857,,,
349,2541,1859,,,
350,2540,1857,,,
351,2543,1857,,,
352,2540,1861,,,
353,2567,1861,,,
354,2545,1863,,,
355,2546,1863,,,
356,2656,1863,,,
357,2694,1861,,,
358,2548,1858,,,
359,2545,1909,,,
360,2547,1862,,,
361,2547,1859,,,
362,2541,1862,,,
363,2543,1861,,,
364,2543,1863,,,
365,2542,1858,,,
366,2542,1857,,,
367,2541,1857,,,
368,2541,1859,,,
369,2542,1860,,,
370,2540,1859,,,
371,2542,1856,,,
372,2541,1863,,,
373,2543,1863,,,
374,2544,1860,,,
375,2544,1863,,,
376,2542,1862,,,
377,2542,1862,,,
378,2542,1857,,,
379,2543,1856,,,
380,2543,1857,,,
381,2543,1860,,,
382,2542,1860,,,
383,2542,1860,,,
384,2542,1858,,,
385,2541,1858,,,
386,2541,1858,,,
387,2542,1858,,,
388,2541,1857,,,
389,2541,1857,,,
390,2541,1857,,,
391,2539,1859,,,
392,2541,1865,,,
393,2541,1863,,,
394,2542,1865,,,
395,2542,1864,,,
396,2541,1863,,,
397,2541,1862,,,
398,2540,1857,,,
399,2540,1860,,,
400,2541,1856,,,
401,2542,1858,,,
402,2542,1857,,,
403,2540,1857,,,
404,2541,1857,,,
405,2541,1856,,,
406,2541,1858,,,
407,2542,1859,,,
408,2541,1860,,,
409,2542,1859,,,
